,name,cpu_time (us),cuda_time (us),total_time (us),count
0,profilerstep*,0.0,0.0,0.0,0.0
1,inference_prof,450313.28300000005,446879.0040000002,897192.2870000002,10.0
2,aten::embedding,344.82700000006616,580.9019999999541,925.7290000000204,10.0
3,layernormfn,18560.11999999943,34189.53599999982,52749.655999999246,250.0
4,aten::permute,480.1240000001309,0.0,480.1240000001309,480.0
5,aten::reshape,523.5889999996589,0.0,523.5889999996589,480.0
6,aten::matmul,2635.034000000306,110757.73499999978,113392.76900000007,240.0
7,aten::to,5735.1559999999945,1718.6139999992442,7453.769999999238,720.0
8,aten::exp,1360.2110000000816,234.1770000007076,1594.3880000007894,240.0
9,aten::neg,1239.4809999996237,228.5139999995719,1467.9949999991954,240.0
10,mambainnerfn,33244.70900000007,224507.2350000012,257751.94400000124,240.0
11,aten::linear,250.3029999999708,74662.2909999999,74912.59399999987,10.0
12,cudadevicesynchronize,374081.748,0.0,374081.748,10.0
0,GEMM,2885.337000000277,185420.02599999966,188305.36299999995,
0,NonGEMM,28243.50799999899,36951.7429999993,65195.25099999829,
0,SSM_Scan,33244.70900000007,224507.2350000012,257751.94400000124,
