,name,cpu_time (us),cuda_time (us),total_time (us),count
0,profilerstep*,0.0,0.0,0.0,0.0
1,inference_prof,2155546.3440000005,2138374.4120000023,4293920.756000003,10.0
2,aten::embedding,2406.671000000144,5163.853000000436,7570.52400000058,10.0
3,layernormfn,190309.0420000002,100389.4930000008,290698.53500000096,250.0
4,aten::permute,7416.544000000473,0.0,7416.544000000473,480.0
5,aten::reshape,7796.008000000066,0.0,7796.008000000066,480.0
6,aten::matmul,32472.62199999882,475721.6109999999,508194.2329999987,240.0
7,aten::to,80794.7350000022,8219.287999999642,89014.02300000183,720.0
8,aten::exp,17856.12199999836,1122.374000000295,18978.495999998653,240.0
9,aten::neg,17052.44599999822,872.0579999995853,17924.503999997807,240.0
10,mambainnerfn,486355.0990000007,1216557.6330000015,1702912.7320000022,240.0
11,aten::linear,2099.076000000176,330328.10200000025,332427.1780000004,10.0
12,cudadevicesynchronize,1183901.8099999998,0.0,1183901.8099999998,10.0
0,GEMM,34571.697999999,806049.7130000002,840621.4109999991,
0,NonGEMM,323631.5679999996,115767.06600000076,439398.63400000037,
0,SSM_Scan,486355.0990000007,1216557.6330000015,1702912.7320000022,
