,name,cpu_time (us),cuda_time (us),total_time (us),count
2,aten::embedding,1687.7469999999848,2358.670999999932,4046.417999999917,10.0
3,layernormfn,141557.41499999954,36822.90000000017,178380.3149999997,250.0
5,aten::to,23870.88699999937,3797.992000000592,27668.87899999996,240.0
6,aten::exp,14710.161000000226,2414.9580000006536,17125.11900000088,240.0
7,aten::neg,13946.905000000112,1725.5080000000312,15672.413000000144,240.0
8,aten::reshape,2706.3549999996712,0.0,2706.3549999996712,240.0
0,NonGEMM,198479.4699999989,47120.02900000138,245599.49900000027,
0,Inference,1169463.497,790001.546000001,1959465.043000001,
